sft_h	sid_h	idhh	idperson	dwt	dgn	dag	yem	yse	poa	idfather	idmother	idpartner	amrtn	dec	deh	dms	les	lhw	liwwh	xhcrt	xhcot	yempv
Two-earner couple with two children	1397877151	1	101	1	0	37	1200	0	0	0	0	104	3	0	3	2	3	40	200	1000	0	0
Two-earner couple with two children	1397877151	1	102	1	1	9	0	0	0	101	104	0	3	2	1	1	6	0	0	0	0	0
Two-earner couple with two children	1397877151	1	103	1	0	16	0	0	0	101	104	0	3	4	3	1	6	0	0	0	0	0
Two-earner couple with two children	1397877151	1	104	1	1	40	2000	0	0	0	0	101	3	0	3	2	3	40	200	0	0	0
Single earner large household	1613066279	2	201	1	1	37	1100	0	0	204	203	202	2	0	2	2	3	40	48	0	0	0
Single earner large household	1613066279	2	202	1	0	28	0	0	0	0	0	201	2	0	2	2	7	0	0	0	0	0
Single earner large household	1613066279	2	203	1	0	65	0	0	0	0	0	0	2	0	1	2	7	0	0	0	0	0
Single earner large household	1613066279	2	204	1	1	66	0	0	0	0	0	0	2	0	1	2	7	0	0	0	0	0
Single earner large household	1613066279	2	205	1	1	15	0	0	0	0	0	0	2	3	2	1	6	0	0	0	0	0
Single earner large household	1613066279	2	206	1	0	13	0	0	0	0	0	0	2	3	2	1	6	0	0	0	0	0
Single earner large household	1613066279	2	207	1	0	8	0	0	0	0	0	0	2	3	2	1	6	0	0	0	0	0
