idhh	idorighh	dwt	drgur	ils_origy	yem	yse	yiy	ypt	yprrt	poa	bun_s	tin_s	tscee_s	tscse_s	tscot_s	tscer_s	ils_dispy	bot_s	bfa02_s	bdioa_s	bchmt_s	ils_benmt	ils_bennt	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicdy	ils_pen
1	0	1	0	3200	3200	0	0	0	0	0	0	0	161,82	0	0	400	3038,18	0	0	0	0	0	0	0	0	0	0	561,82	0
2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2604	0	0	2604	0	2604	0	2604	2604	0	0	0	0
3	0	1	0	10	10	0	0	0	0	0	0	0	0	0	0	0	2726,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
4	0	1	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2736,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
5	0	1	0	30	30	0	0	0	0	0	0	0	0	0	0	0	2746,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
6	0	1	0	40	40	0	0	0	0	0	0	0	0	0	0	0	2756,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
7	0	1	0	50	50	0	0	0	0	0	0	0	0	0	0	0	2766,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
8	0	1	0	60	60	0	0	0	0	0	0	0	0	0	0	0	2776,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
9	0	1	0	70	70	0	0	0	0	0	0	0	0	0	0	0	2786,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
10	0	1	0	80	80	0	0	0	0	0	0	0	0	0	0	0	2796,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
11	0	1	0	90	90	0	0	0	0	0	0	0	0	0	0	0	2806,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
12	0	1	0	100	100	0	0	0	0	0	0	0	0	0	0	0	2816,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
13	0	1	0	110	110	0	0	0	0	0	0	0	0	0	0	0	2826,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
14	0	1	0	120	120	0	0	0	0	0	0	0	0	0	0	0	2836,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
15	0	1	0	130	130	0	0	0	0	0	0	0	0	0	0	0	2846,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
16	0	1	0	140	140	0	0	0	0	0	0	0	0	0	0	0	2856,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
17	0	1	0	150	150	0	0	0	0	0	0	0	0	0	0	0	2866,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
18	0	1	0	160	160	0	0	0	0	0	0	0	0	0	0	0	2876,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
19	0	1	0	170	170	0	0	0	0	0	0	0	0	0	0	0	2886,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
20	0	1	0	180	180	0	0	0	0	0	0	0	0	0	0	0	2896,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
21	0	1	0	190	190	0	0	0	0	0	0	0	0	0	0	0	2906,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
22	0	1	0	200	200	0	0	0	0	0	0	0	0	0	0	0	2916,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
23	0	1	0	210	210	0	0	0	0	0	0	0	0	0	0	0	2926,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
24	0	1	0	220	220	0	0	0	0	0	0	0	0	0	0	0	2936,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
25	0	1	0	230	230	0	0	0	0	0	0	0	0	0	0	0	2946,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
26	0	1	0	240	240	0	0	0	0	0	0	0	0	0	0	0	2956,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
27	0	1	0	250	250	0	0	0	0	0	0	0	0	0	0	0	2966,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
28	0	1	0	260	260	0	0	0	0	0	0	0	0	0	0	0	2976,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
29	0	1	0	270	270	0	0	0	0	0	0	0	0	0	0	0	2986,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
30	0	1	0	280	280	0	0	0	0	0	0	0	0	0	0	0	2996,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
31	0	1	0	290	290	0	0	0	0	0	0	0	0	0	0	0	3006,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
32	0	1	0	300	300	0	0	0	0	0	0	0	0	0	0	0	3016,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
33	0	1	0	310	310	0	0	0	0	0	0	0	0	0	0	0	3026,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
34	0	1	0	320	320	0	0	0	0	0	0	0	0	0	0	0	3036,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
35	0	1	0	330	330	0	0	0	0	0	0	0	0	0	0	0	3046,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
36	0	1	0	340	340	0	0	0	0	0	0	0	0	0	0	0	3056,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
37	0	1	0	350	350	0	0	0	0	0	0	0	0	0	0	0	3066,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
38	0	1	0	360	360	0	0	0	0	0	0	0	0	0	0	0	3076,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
39	0	1	0	370	370	0	0	0	0	0	0	0	0	0	0	0	3086,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
40	0	1	0	380	380	0	0	0	0	0	0	0	0	0	0	0	3096,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
41	0	1	0	390	390	0	0	0	0	0	0	0	0	0	0	0	3106,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
42	0	1	0	400	400	0	0	0	0	0	0	0	0	0	0	0	3116,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
43	0	1	0	410	410	0	0	0	0	0	0	0	0	0	0	0	3126,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
44	0	1	0	420	420	0	0	0	0	0	0	0	0	0	0	0	3136,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
45	0	1	0	430	430	0	0	0	0	0	0	0	0	0	0	0	3146,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
46	0	1	0	440	440	0	0	0	0	0	0	0	0	0	0	0	3156,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
47	0	1	0	450	450	0	0	0	0	0	0	0	0	0	0	0	3166,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
48	0	1	0	460	460	0	0	0	0	0	0	0	0	0	0	0	3176,94	0	0	2604	112,94	2716,94	0	2716,94	2716,94	0	0	0	0
