idhh	idperson	idorighh	idorigperson	idpartner	idmother	idfather	dct	drgn1	drgn2	dwt	drgur	dag	dgn	dms	dec	deh	dey	les	yem	yse	dra	yiy	ypt	yprrt	poa	bot_s	bfa01_s	bfa02_s	bdioa_s	bchmt_s	bun_s	tin_s	tscee_s	tscse_s	tscot_s	tscer_s	ils_dispy	ils_origy	ils_earns	ils_benmt	ils_bennt	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicdy	ils_sicer	ils_sicee	ils_sicse	ils_pen	ils_b1_bun	ils_b2_bfaed	ils_b2_bsaho	ils_b2_penhl	sid_h
1	101	0	0	102	103	104	0	0	0	1	0	37	1	2	0	2	0	3	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
1	102	0	0	101	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
1	103	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
1	104	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
1	105	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
1	106	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
1	107	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
2	201	0	0	202	203	204	0	0	0	1	0	37	1	2	0	2	0	3	10	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	150,04	10	10	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
2	202	0	0	201	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
2	203	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
2	204	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
2	205	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
2	206	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
2	207	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
3	301	0	0	302	303	304	0	0	0	1	0	37	1	2	0	2	0	3	20	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	160,04	20	20	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
3	302	0	0	301	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
3	303	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
3	304	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
3	305	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
3	306	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
3	307	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
4	401	0	0	402	403	404	0	0	0	1	0	37	1	2	0	2	0	3	30	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	170,04	30	30	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
4	402	0	0	401	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
4	403	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
4	404	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
4	405	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
4	406	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
4	407	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
5	501	0	0	502	503	504	0	0	0	1	0	37	1	2	0	2	0	3	40	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	180,04	40	40	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
5	502	0	0	501	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
5	503	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
5	504	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
5	505	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
5	506	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
5	507	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
6	601	0	0	602	603	604	0	0	0	1	0	37	1	2	0	2	0	3	50	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	190,04	50	50	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
6	602	0	0	601	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
6	603	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
6	604	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	37,5	0	0	1100	0	0	0	0	0	0	0	1137,5	0	0	1137,5	0	1137,5	1137,5	0	0	0	0	0	0	0	0	0	37,5	1100	1613066279
6	605	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
6	606	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
6	607	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
7	701	0	0	702	703	704	0	0	0	1	0	37	1	2	0	2	0	3	60	0	0	0	0	0	0	37,5	0	0	0	102,54	0	0	0	0	0	0	200,04	60	60	140,04	0	140,04	140,04	0	0	0	0	0	0	0	0	102,54	37,5	0	1613066279
7	702	0	0	701	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	0	0	0	0	37,5	0	0	37,5	0	37,5	37,5	0	0	0	0	0	0	0	0	0	37,5	0	1613066279
