idhh	idperson	idorighh	idorigperson	idpartner	idmother	idfather	dct	drgn1	drgn2	dwt	drgur	dag	dgn	dms	dec	deh	dey	les	yem	yse	dra	yiy	ypt	yprrt	poa	bot_s	bfa02_s	bdioa_s	bchmt_s	bun_s	tin_s	tscee_s	tscse_s	tscot_s	tscer_s	ils_dispy	ils_origy	ils_earns	ils_benmt	ils_bennt	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicdy	ils_sicer	ils_sicee	ils_sicse	ils_pen	ils_b1_bun	ils_b2_bfaed	ils_b2_bsaho	ils_b2_penhl	sid_h
1	101	0	0	104	0	0	0	0	0	1	0	37	0	2	0	3	0	3	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	1200	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1397877151
1	102	0	0	0	104	101	0	0	0	1	0	9	1	1	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1397877151
1	103	0	0	0	104	101	0	0	0	1	0	16	0	1	4	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1397877151
1	104	0	0	101	0	0	0	0	0	1	0	40	1	2	0	3	0	3	2000	0	0	0	0	0	0	0	0	0	0	0	0	161,82	0	0	400	1838,18	2000	2000	0	0	0	0	0	0	561,82	400	161,82	0	0	0	0	0	0	1397877151
2	201	0	0	202	203	204	0	0	0	1	0	37	1	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
2	202	0	0	201	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
2	203	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
2	204	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
2	205	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
2	206	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
2	207	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
3	301	0	0	302	303	304	0	0	0	1	0	37	1	2	0	2	0	3	10	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	122,94	10	10	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
3	302	0	0	301	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
3	303	0	0	0	0	0	0	0	0	1	0	65	0	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
3	304	0	0	0	0	0	0	0	0	1	0	66	1	2	0	1	0	7	0	0	0	0	0	0	0	0	0	1302	0	0	0	0	0	0	0	1302	0	0	1302	0	1302	1302	0	0	0	0	0	0	0	0	0	0	1302	1613066279
3	305	0	0	0	0	0	0	0	0	1	0	15	1	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
3	306	0	0	0	0	0	0	0	0	1	0	13	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
3	307	0	0	0	0	0	0	0	0	1	0	8	0	1	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
4	401	0	0	402	403	404	0	0	0	1	0	37	1	2	0	2	0	3	20	0	0	0	0	0	0	0	0	0	112,94	0	0	0	0	0	0	132,94	20	20	112,94	0	112,94	112,94	0	0	0	0	0	0	0	0	112,94	0	0	1613066279
4	402	0	0	401	0	0	0	0	0	1	0	28	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1613066279
