code_pof;code_nat_acc;category_nat_acc
63003;1911;arroz e outros
63004;1911;arroz e outros
63004;1911;arroz e outros
63004;1911;arroz e outros
63006;1911;arroz e outros
63009;1911;arroz e outros
63009;1911;arroz e outros
63009;1911;arroz e outros
63009;1911;arroz e outros
63009;1911;arroz e outros
63018;1911;arroz e outros
63018;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63043;1911;arroz e outros
63044;1911;arroz e outros
63044;1911;arroz e outros
63044;1911;arroz e outros
63044;1911;arroz e outros
63045;1911;arroz e outros
63047;1911;arroz e outros
63048;1911;arroz e outros
63049;1911;arroz e outros
63051;1911;arroz e outros
63052;1911;arroz e outros
63053;1911;arroz e outros
63054;1911;arroz e outros
63055;1911;arroz e outros
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63007;1912;milho
63008;1912;milho
68025;1914;cana de açucar
63030;1915;soja
8017;1916;lavoura temporária 1
63010;1916;lavoura temporária 1
63011;1916;lavoura temporária 1
63012;1916;lavoura temporária 1
63013;1916;lavoura temporária 1
63014;1916;lavoura temporária 1
63015;1916;lavoura temporária 1
63016;1916;lavoura temporária 1
63017;1916;lavoura temporária 1
63019;1916;lavoura temporária 1
63021;1916;lavoura temporária 1
63022;1916;lavoura temporária 1
63023;1916;lavoura temporária 1
63024;1916;lavoura temporária 1
63025;1916;lavoura temporária 1
63026;1916;lavoura temporária 1
63027;1916;lavoura temporária 1
63028;1916;lavoura temporária 1
63029;1916;lavoura temporária 1
63031;1916;lavoura temporária 1
63032;1916;lavoura temporária 1
63037;1916;lavoura temporária 1
63038;1916;lavoura temporária 1
63039;1916;lavoura temporária 1
63040;1916;lavoura temporária 1
63041;1916;lavoura temporária 1
63046;1916;lavoura temporária 1
63050;1916;lavoura temporária 1
63056;1916;lavoura temporária 1
63057;1916;lavoura temporária 1
64001;1916;lavoura temporária 1
64002;1916;lavoura temporária 1
64003;1916;lavoura temporária 1
64004;1916;lavoura temporária 1
64005;1916;lavoura temporária 1
64006;1916;lavoura temporária 1
64007;1916;lavoura temporária 1
64008;1916;lavoura temporária 1
64009;1916;lavoura temporária 1
64010;1916;lavoura temporária 1
64011;1916;lavoura temporária 1
64012;1916;lavoura temporária 1
64013;1916;lavoura temporária 1
64014;1916;lavoura temporária 1
64015;1916;lavoura temporária 1
64016;1916;lavoura temporária 1
64017;1916;lavoura temporária 1
64018;1916;lavoura temporária 1
64019;1916;lavoura temporária 1
64020;1916;lavoura temporária 1
64022;1916;lavoura temporária 1
64023;1916;lavoura temporária 1
64024;1916;lavoura temporária 1
64025;1916;lavoura temporária 1
64026;1916;lavoura temporária 1
64027;1916;lavoura temporária 1
64028;1916;lavoura temporária 1
67001;1916;lavoura temporária 1
67002;1916;lavoura temporária 1
67003;1916;lavoura temporária 1
67004;1916;lavoura temporária 1
67005;1916;lavoura temporária 1
67006;1916;lavoura temporária 1
67007;1916;lavoura temporária 1
67008;1916;lavoura temporária 1
67009;1916;lavoura temporária 1
67010;1916;lavoura temporária 1
67011;1916;lavoura temporária 1
67012;1916;lavoura temporária 1
67013;1916;lavoura temporária 1
67014;1916;lavoura temporária 1
67015;1916;lavoura temporária 1
67016;1916;lavoura temporária 1
67017;1916;lavoura temporária 1
67018;1916;lavoura temporária 1
67019;1916;lavoura temporária 1
67020;1916;lavoura temporária 1
67021;1916;lavoura temporária 1
67022;1916;lavoura temporária 1
67023;1916;lavoura temporária 1
67024;1916;lavoura temporária 1
67025;1916;lavoura temporária 1
67026;1916;lavoura temporária 1
67027;1916;lavoura temporária 1
67028;1916;lavoura temporária 1
67029;1916;lavoura temporária 1
67030;1916;lavoura temporária 1
67031;1916;lavoura temporária 1
67032;1916;lavoura temporária 1
67033;1916;lavoura temporária 1
67034;1916;lavoura temporária 1
67035;1916;lavoura temporária 1
67036;1916;lavoura temporária 1
67037;1916;lavoura temporária 1
67038;1916;lavoura temporária 1
67039;1916;lavoura temporária 1
67040;1916;lavoura temporária 1
67041;1916;lavoura temporária 1
67042;1916;lavoura temporária 1
67043;1916;lavoura temporária 1
67045;1916;lavoura temporária 1
67046;1916;lavoura temporária 1
67047;1916;lavoura temporária 1
67048;1916;lavoura temporária 1
67049;1916;lavoura temporária 1
67050;1916;lavoura temporária 1
67051;1916;lavoura temporária 1
67052;1916;lavoura temporária 1
67054;1916;lavoura temporária 1
67055;1916;lavoura temporária 1
67056;1916;lavoura temporária 1
67057;1916;lavoura temporária 1
67058;1916;lavoura temporária 1
67059;1916;lavoura temporária 1
67060;1916;lavoura temporária 1
67062;1916;lavoura temporária 1
67063;1916;lavoura temporária 1
67064;1916;lavoura temporária 1
67065;1916;lavoura temporária 1
67066;1916;lavoura temporária 1
67067;1916;lavoura temporária 1
67068;1916;lavoura temporária 1
67069;1916;lavoura temporária 1
67070;1916;lavoura temporária 1
67071;1916;lavoura temporária 1
67072;1916;lavoura temporária 1
67073;1916;lavoura temporária 1
67074;1916;lavoura temporária 1
67075;1916;lavoura temporária 1
67076;1916;lavoura temporária 1
67077;1916;lavoura temporária 1
67078;1916;lavoura temporária 1
67079;1916;lavoura temporária 1
67080;1916;lavoura temporária 1
67081;1916;lavoura temporária 1
67082;1916;lavoura temporária 1
67083;1916;lavoura temporária 1
67084;1916;lavoura temporária 1
67085;1916;lavoura temporária 1
67086;1916;lavoura temporária 1
67087;1916;lavoura temporária 1
67088;1916;lavoura temporária 1
67089;1916;lavoura temporária 1
67090;1916;lavoura temporária 1
67091;1916;lavoura temporária 1
67092;1916;lavoura temporária 1
67093;1916;lavoura temporária 1
67094;1916;lavoura temporária 1
67096;1916;lavoura temporária 1
67097;1916;lavoura temporária 1
67098;1916;lavoura temporária 1
67099;1916;lavoura temporária 1
67100;1916;lavoura temporária 1
67101;1916;lavoura temporária 1
67102;1916;lavoura temporária 1
67103;1916;lavoura temporária 1
67104;1916;lavoura temporária 1
67105;1916;lavoura temporária 1
67106;1916;lavoura temporária 1
67107;1916;lavoura temporária 1
67108;1916;lavoura temporária 1
67109;1916;lavoura temporária 1
67110;1916;lavoura temporária 1
67111;1916;lavoura temporária 1
67112;1916;lavoura temporária 1
67113;1916;lavoura temporária 1
67114;1916;lavoura temporária 1
67115;1916;lavoura temporária 1
67116;1916;lavoura temporária 1
67117;1916;lavoura temporária 1
67118;1916;lavoura temporária 1
67119;1916;lavoura temporária 1
67120;1916;lavoura temporária 1
67121;1916;lavoura temporária 1
67122;1916;lavoura temporária 1
67123;1916;lavoura temporária 1
67124;1916;lavoura temporária 1
67125;1916;lavoura temporária 1
67126;1916;lavoura temporária 1
67127;1916;lavoura temporária 1
67128;1916;lavoura temporária 1
67129;1916;lavoura temporária 1
67130;1916;lavoura temporária 1
67131;1916;lavoura temporária 1
67133;1916;lavoura temporária 1
67134;1916;lavoura temporária 1
67135;1916;lavoura temporária 1
67136;1916;lavoura temporária 1
67137;1916;lavoura temporária 1
67138;1916;lavoura temporária 1
67139;1916;lavoura temporária 1
67140;1916;lavoura temporária 1
67141;1916;lavoura temporária 1
67142;1916;lavoura temporária 1
67143;1916;lavoura temporária 1
67144;1916;lavoura temporária 1
67145;1916;lavoura temporária 1
67146;1916;lavoura temporária 1
67147;1916;lavoura temporária 1
68026;1916;lavoura temporária 1
68034;1916;lavoura temporária 1
68035;1916;lavoura temporária 1
68052;1916;lavoura temporária 1
68082;1916;lavoura temporária 1
68087;1916;lavoura temporária 1
68088;1916;lavoura temporária 1
70025;1916;lavoura temporária 1
70102;1916;lavoura temporária 1
88001;1916;lavoura temporária 1
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68012;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68013;1917;laranja
68014;1917;laranja
