idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse	ils_bennt
1	690,88	3426,36	1145,96	2337,95	0	0	0	57,55	115,1	0	0
2	690,88	2861,19	3299,12	-8	0	0	0	0	0	429,93	0
3	690,88	1893,48	-4	1897,48	8,04	0	0	0	0	0	8,04
4	690,88	5504,87	5821,83	-10	0	15,67	15,67	291,29	582,58	0	0
5	690,88	4370,86	4611,8	-10	0	0	0	230,94	461,88	0	0
6	690,88	9274,8	10045	-8	0	259,7	259,7	502,5	1005	0	0
7	690,88	1707	1094,96	742	1350	0	0	8,15	16,3	121,81	750
8	656,28	2161,19	1494,25	742	1350	0	0	75,06	150,13	0	750
9	656,28	5961,49	6796,67	-10	0	5,77	5,77	0	0	819,41	0
10	656,28	3580,8	1976	1863,24	0	0	0	0	0	258,44	0
11	656,28	3554,41	3797	-4	0	48,59	48,59	190	380	0	0
12	656,28	6282,9	6820,03	-8	0	63,46	63,46	140,66	281,33	325	0
13	405,88	1877,6	-4	1881,6	8,04	0	0	0	0	0	8,04
14	405,88	1762,16	1498,25	371	675	0	0	55,05	110,09	52,04	375
15	405,88	875,92	529,44	373	675	0	0	26,52	53,04	0	375
16	405,88	3965,89	4277	-4	0	69,11	69,11	199	398	39	0
17	405,88	4140,96	4499	-4	0	9,04	9,04	150	300	195	0
18	405,88	1658	969	738	1350	0	0	49	98	0	750
19	405,88	2697,25	2852	-6	0	6,04	6,04	142,7	285,4	0	0
20	405,88	1730,91	1097,3	740	1350	0	0	2,98	5,97	103,41	750
21	967,57	1660,64	572,56	1117	2025	0	0	28,93	57,86	0	1125
22	967,57	1126,55	1188	-2	0	0	0	59,45	118,9	0	0
23	967,57	860,95	518,11	369	675	0	0	26,16	52,31	0	375
24	967,57	2820,36	1398,59	1492	2700	0	0	70,23	140,46	0	1500
25	967,57	4338,76	4332,01	347	0	14,58	14,58	148,6	297,2	177,06	0
26	810,1	367	-4	371	675	0	0	0	0	0	375
27	810,1	1628,83	929,4	746	1350	0	0	46,57	93,14	0	750
28	810,1	972,58	631,19	373	675	0	0	31,61	63,22	0	375
29	810,1	1857,18	126,54	1747,88	1096,49	0	0	0	0	17,23	796,49
30	810,1	3604,09	3859,16	-6	0	55,91	55,91	193,16	386,32	0	0
31	810,1	5170,39	5594,78	-8	0	96,77	96,77	255,22	510,45	64,39	0
32	484,77	1334,79	-4	1338,79	683,04	0	0	0	0	0	383,04
33	484,77	5136,11	134,39	5020,76	3748,04	0	0	0	0	19,03	3148,04
34	484,77	734	-8	742	1350	0	0	0	0	0	750
35	484,77	1358,07	47,18	1313,4	675	0	0	2,51	5,02	0	375
36	484,77	6542,61	7249,27	-8	0	60,58	60,58	190,69	381,38	447,4	0
37	484,77	1906,03	-2	1908,03	2,01	0	0	0	0	0	2,01
38	529,17	6983,32	3865,23	3368,81	0	57,06	57,06	193,66	387,32	0	0
39	529,17	2102,8	1492,32	686,05	675	0	0	74,26	148,53	1,31	375
40	529,17	934,79	-1	935,79	1,01	0	0	0	0	0	1,01
41	529,17	373,01	-2	375,01	677,01	0	0	0	0	0	377,01
42	529,17	913,52	621,58	373	675	0	0	0	0	81,07	375
43	529,17	1326,04	-4	1330,04	683,04	0	0	0	0	0	383,04
44	529,17	942	599	373	675	0	0	30	60	0	375
