idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse
1	690,88	3429,36	1145,96	2340,95	0	0	0	57,55	115,1	0
2	690,88	2865,19	3299,12	-4	0	0	0	0	0	429,93
3	690,88	1887,44	-4	1891,44	0	0	0	0	0	0
4	690,88	5509,87	5821,83	-5	0	15,67	15,67	291,29	582,58	0
5	690,88	4375,86	4611,8	-5	0	0	0	230,94	461,88	0
6	690,88	9278,8	10045	-4	0	259,7	259,7	502,5	1005	0
7	690,88	961	1094,96	-4	0	0	0	8,15	16,3	121,81
8	656,28	1415,19	1494,25	-4	0	0	0	75,06	150,13	0
9	656,28	5966,49	6796,67	-5	0	5,77	5,77	0	0	819,41
10	656,28	3586,8	1976	1869,24	0	0	0	0	0	258,44
11	656,28	3556,41	3797	-2	0	48,59	48,59	190	380	0
12	656,28	6286,9	6820,03	-4	0	63,46	63,46	140,66	281,33	325
13	405,88	1871,56	-4	1875,56	0	0	0	0	0	0
14	405,88	1389,16	1498,25	-2	0	0	0	55,05	110,09	52,04
15	405,88	501,92	529,44	-1	0	0	0	26,52	53,04	0
16	405,88	3967,89	4277	-2	0	69,11	69,11	199	398	39
17	405,88	4142,96	4499	-2	0	9,04	9,04	150	300	195
18	405,88	914	969	-6	0	0	0	49	98	0
19	405,88	2700,25	2852	-3	0	6,04	6,04	142,7	285,4	0
20	405,88	985,91	1097,3	-5	0	0	0	2,98	5,97	103,41
21	967,57	539,64	572,56	-4	0	0	0	28,93	57,86	0
22	967,57	1127,55	1188	-1	0	0	0	59,45	118,9	0
23	967,57	488,95	518,11	-3	0	0	0	26,16	52,31	0
24	967,57	1324,36	1398,59	-4	0	0	0	70,23	140,46	0
25	967,57	4340,76	4332,01	349	0	14,58	14,58	148,6	297,2	177,06
26	810,1	-6	-4	-2	0	0	0	0	0	0
27	810,1	880,83	929,4	-2	0	0	0	46,57	93,14	0
28	810,1	598,58	631,19	-1	0	0	0	31,61	63,22	0
29	810,1	1063,7	126,54	954,39	0	0	0	0	0	17,23
30	810,1	3607,09	3859,16	-3	0	55,91	55,91	193,16	386,32	0
31	810,1	5174,39	5594,78	-4	0	96,77	96,77	255,22	510,45	64,39
32	484,77	953,75	-4	957,75	0	0	0	0	0	0
33	484,77	1994,08	134,39	1878,72	0	0	0	0	0	19,03
34	484,77	-12	-8	-4	0	0	0	0	0	0
35	484,77	985,07	47,18	940,4	0	0	0	2,51	5,02	0
36	484,77	6546,61	7249,27	-4	0	60,58	60,58	190,69	381,38	447,4
37	484,77	1905,02	-2	1907,02	0	0	0	0	0	0
38	529,17	6988,32	3865,23	3373,81	0	57,06	57,06	193,66	387,32	0
39	529,17	1730,8	1492,32	314,05	0	0	0	74,26	148,53	1,31
40	529,17	934,78	-1	935,78	0	0	0	0	0	0
41	529,17	-3	-2	-1	0	0	0	0	0	0
42	529,17	539,52	621,58	-1	0	0	0	0	0	81,07
43	529,17	945	-4	949	0	0	0	0	0	0
44	529,17	568	599	-1	0	0	0	30	60	0
45	529,17	1331,41	1404,91	-3	0	0	0	70,5	140,99	0
46	625,11	1045,86	1103,12	-2	0	0	0	55,26	110,51	0
47	625,11	1537,15	597,79	939,36	0	0	0	0	0	0
48	625,11	6940,07	7466,5	-4	0	72,53	72,53	325,95	651,91	123,95
49	625,11	22613,57	13283,72	14350,81	0	4308,75	4308,75	62,21	124,42	650
50	625,11	5388,87	6014,74	-4	0	320,78	320,78	301,09	602,17	0
51	625,11	1882	-3	1885	0	0	0	0	0	0
52	222,26	3219,34	3572,23	-5	0	22,89	22,89	0	0	325
53	222,26	2616,14	3009,95	-2	0	0	0	0	0	391,81
54	222,26	4365,01	4812,34	153,73	0	0	0	15,12	30,25	585,94
55	222,26	4469,32	4933,29	-2	0	0	0	102,98	205,95	359
56	222,26	271,35	275,62	-1	0	0	0	0	0	3,27
57	222,26	759,98	801,08	-1	0	0	0	40,1	80,21	0
58	434,55	1840,35	-6	1846,35	0	0	0	0	0	0
59	434,55	3308,36	3487,01	-4	0	0	0	174,65	349,3	0
60	434,55	934,44	-4	938,44	0	0	0	0	0	0
61	434,55	77,13	-2	79,13	0	0	0	0	0	0
62	434,55	3019,44	3192,04	-3	0	9,75	9,75	159,85	319,7	0
63	434,55	-6	-4	-2	0	0	0	0	0	0
64	268,32	1886,64	1987,04	-1	0	0	0	99,4	198,8	0
65	268,32	3561,36	3804,52	-3	0	49,68	49,68	190,48	380,95	0
66	268,32	2724,57	2979,05	-2	0	0	0	84,49	168,98	167,99
67	268,32	3711,09	2041,11	1903,76	0	0	0	20,05	40,1	213,73
68	268,32	1922,34	2028,09	-4	0	0	0	101,75	203,51	0
69	268,32	1877,05	1978,11	-2	0	0	0	99,06	198,11	0
70	268,32	1121,24	1183,67	-3	0	0	0	59,43	118,87	0
71	253,68	-9	-6	-3	0	0	0	0	0	0
72	253,68	1870,56	-4	1874,56	0	0	0	0	0	0
73	253,68	1995	2296	-2	0	0	0	0	0	299
74	253,68	426	494	-3	0	0	0	0	0	65
75	253,68	950	-3	953	0	0	0	0	0	0
76	764,56	819,72	948	-4	0	0	0	0	0	124,28
77	764,56	2575,79	2713,57	-2	0	0	0	135,78	271,56	0
78	764,56	1634,97	1756,09	-6	0	0	0	71,62	143,25	43,5
79	764,56	21318,68	13458,31	11265,56	0	2732,07	2732,07	673,12	1346,23	0
80	764,56	756,78	293,4	502,56	506,56	0	0	0	0	39,18
81	764,56	548,5	580,79	-3	0	0	0	29,29	58,58	0
82	764,56	940,36	-1	941,36	0	0	0	0	0	0
83	764,56	2850,75	1062,88	1841,66	0	0	0	53,79	107,59	0
84	400,37	-11	-7	-4	0	0	0	0	0	0
85	400,37	1727,15	1837,1	-2	0	0	0	81,88	163,76	26,07
86	400,37	1871,14	-2	1873,14	0	0	0	0	0	0
87	400,37	4368,29	3725,28	933,57	0	6,69	6,69	88,96	177,92	194,91
88	400,37	2805,71	-4	2809,71	0	0	0	0	0	0
89	400,37	731,24	844,85	-3	0	0	0	0	0	110,61
90	400,37	1943,16	2048,81	-3	0	0	0	102,64	205,28	0
91	525,1	2657,7	2802,11	-4	0	0	0	140,41	280,81	0
92	525,1	3300,32	3479,65	-5	0	0	0	174,33	348,67	0
93	525,1	1146,93	1324,1	-4	0	0	0	0	0	173,17
94	525,1	2063,27	1183,67	939,03	0	0	0	59,43	118,87	0
95	525,1	97,94	105,31	-2	0	0	0	5,37	10,73	0
96	525,1	942,99	-2	944,99	0	0	0	0	0	0
97	525,1	879,98	932,03	-5	0	0	0	47,05	94,1	0
98	651,06	4031,23	2496,08	1874,56	0	14,41	14,41	0	0	325
99	651,06	1071,9	158,81	934,78	0	0	0	0	0	21,68
100	651,06	1835,54	995,84	929,78	0	0	0	25,02	50,04	65,05
101	651,06	4554,16	3998,34	955,28	0	74,46	74,46	0	0	325
102	651,06	3587,72	1979	1872,56	0	5,27	5,27	0	0	258,57
103	651,06	942	995	-3	0	0	0	50	100	0
104	651,06	3900,3	3125	932	0	0	0	156,7	313,4	0
105	651,06	3060,5	2241	932	0	0	0	112,5	225	0
106	324,67	3780,88	4152,97	-5	0	0	0	108,65	217,29	258,45
107	324,67	1564,33	344,88	1236,99	300,64	0	0	17,54	35,09	0
108	324,67	818,31	944,93	-3	0	0	0	0	0	123,62
109	324,67	190,9	220,87	-1	0	0	0	0	0	28,97
110	324,67	942,99	-2	944,99	0	0	0	0	0	0
111	324,67	3186,31	1456,08	1887,98	0	0	0	0	0	157,75
112	1230,6	-3	-2	-1	0	0	0	0	0	0
113	1230,6	1570,52	1812,44	-5	0	0	0	0	0	236,92
114	576,54	838,18	274,63	577,63	581,63	0	0	14,08	28,16	0
115	576,54	1591,64	747,95	941,44	0	0	0	0	0	97,75
116	576,54	15106,26	18408,4	-4	0	2648,14	2648,14	0	0	650
117	576,54	8923,31	10595,98	-2	0	1311,58	1311,58	34,08	68,17	325
118	576,54	2199,52	2394,51	-3	0	0	0	74,97	149,93	117,03
119	576,54	858,6	992,54	-4	0	0	0	0	0	129,94
120	576,54	1477,8	1558,9	-3	0	0	0	78,09	156,19	0
121	1033,68	3861,77	4078,82	-3	0	9,91	9,91	204,14	408,28	0
122	1033,68	1283,57	1354,49	-3	0	0	0	67,92	135,85	0
123	1033,68	1711,57	1973,11	-4	0	0	0	0	0	257,54
124	1033,68	-3	-2	-1	0	0	0	0	0	0
125	1033,68	6596,05	3463	3512,34	0	54,29	54,29	0	0	325
126	1033,68	1708,52	1801,86	-3	0	0	0	90,34	180,69	0
127	1033,68	2154,19	-4	2158,19	0	0	0	0	0	0
128	454,11	895,88	945,29	-2	0	0	0	47,41	94,83	0
129	454,11	685,83	791,21	-2	0	0	0	0	0	103,38
130	454,11	2325,95	2677,86	-3	0	0	0	0	0	348,9
131	454,11	2118,27	2440,59	-4	0	0	0	0	0	318,32
132	454,11	1377,54	498,93	943,99	0	0	0	0	0	65,38
133	454,11	843,78	978,56	-6	0	0	0	0	0	128,77
134	454,11	1885,98	-4	1889,98	0	0	0	0	0	0
135	454,11	1025,14	1182,67	-3	0	0	0	0	0	154,53
136	454,11	852,78	984,55	-3	0	0	0	0	0	128,77
137	550,4	4247,01	4490,49	-3	0	15,81	15,81	224,67	449,35	0
138	550,4	5417,51	3095,59	2499,08	0	22,03	22,03	155,13	310,26	0
139	550,4	995,83	-4	999,83	0	0	0	0	0	0
140	550,4	3977,5	2609	1499	0	0	0	130,5	261	0
141	550,4	5620,45	6131	-4	0	199,7	199,7	306,85	613,7	0
142	550,4	10248,46	8811,55	1877,89	0	0	0	440,98	881,96	0
143	372,98	-12	-8	-4	0	0	0	0	0	0
144	372,98	9113,5	10823,07	-3	0	1341,47	1341,47	40,1	80,21	325
145	372,98	1131,47	1194,44	-3	0	0	0	59,97	119,94	0
146	372,98	2103,46	-2	2105,46	0	0	0	0	0	0
147	372,98	1131,47	1194,44	-3	0	0	0	59,97	119,94	0
148	372,98	153,26	163,59	-2	0	0	0	8,33	16,66	0
149	372,98	1871,14	-2	1873,14	0	0	0	0	0	0
150	372,98	1624,25	793,63	934,57	0	0	0	0	0	103,95
151	564,11	1008,44	78,07	940,78	0	0	0	0	0	10,41
152	564,11	1231,48	1299,66	-3	0	0	0	65,18	130,37	0
153	564,11	2441,25	2573	-3	0	0	0	128,75	257,5	0
154	564,11	1942,26	2046,59	-2	0	0	0	102,33	204,66	0
155	564,11	2799,73	2951,51	-4	0	0	0	147,78	295,55	0
156	511,89	2759,35	3064,4	-4	0	0	0	61,39	122,79	239,66
157	511,89	946,58	-4	950,58	0	0	0	0	0	0
158	511,89	1285,98	397,86	940,36	0	0	0	0	0	52,24
159	511,89	2804,45	-4	2823,07	0	14,62	14,62	0	0	0
160	511,89	2308,2	2436,53	-6	0	0	0	122,33	244,65	0
161	511,89	4759,45	-6	5021,25	0	255,8	255,8	0	0	0
162	511,89	7280,13	6016,75	1602,8	0	38,34	38,34	301,09	602,18	0
163	442,55	1874,88	-4	1878,88	0	0	0	0	0	0
164	442,55	5325,18	5574,66	-4	0	69,92	69,92	175,57	351,13	0
165	442,55	3851,84	4148,75	-1	0	88,47	88,47	207,44	414,88	0
166	442,55	1695,21	1790,17	-5	0	0	0	89,96	179,92	0
167	442,55	2082,19	2364,9	-3	0	0	0	17,66	35,32	262,04
168	442,55	1190,61	1254,33	-1	0	0	0	62,72	125,43	0
169	442,55	1504,49	1732,2	-2	0	0	0	0	0	225,71
170	442,55	897,08	946,56	-2	0	0	0	47,48	94,96	0
171	856,89	2343,68	2468,14	-1	0	0	0	123,46	246,91	0
172	856,89	1351,1	493,28	922,21	0	0	0	0	0	64,39
173	856,89	2640,78	1977,11	921,21	0	0	0	0	0	257,54
174	856,89	871,34	920,57	-3	0	0	0	46,23	92,46	0
175	856,89	2647,5	2789,05	-2	0	0	0	139,55	279,11	0
176	856,89	3153,99	3525,19	-5	0	0	0	58,03	116,06	308,18
177	421,08	1888,76	-12	1900,76	0	0	0	0	0	0
178	421,08	3125,03	2432,83	949,38	0	0	0	37,5	75	219,68
179	421,08	919,44	-4	923,44	0	0	0	0	0	0
180	421,08	1844,88	-4	1848,88	0	0	0	0	0	0
181	421,08	1880,05	1980,11	-1	0	0	0	99,06	198,11	0
