idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse
1	690,88	3435,36	1150,96	2341,95	0	0	0	57,55	115,1	0
2	690,88	2877,19	3307,12	0	0	0	0	0	0	429,93
3	690,88	1891,44	0	1891,44	0	0	0	0	0	0
4	690,88	5534,54	5825,83	0	0	0	0	291,29	582,58	0
5	690,88	4387,86	4618,8	0	0	0	0	230,94	461,88	0
6	690,88	9423,81	10050	0	0	123,69	123,69	502,5	1005	0
7	690,88	970	1099,96	0	0	0	0	8,15	16,3	121,81
8	656,28	1426,19	1501,25	0	0	0	0	75,06	150,13	0
9	656,28	5986,26	6805,67	0	0	0	0	0	0	819,41
10	656,28	3602,8	1988	1873,24	0	0	0	0	0	258,44
11	656,28	3610	3800	0	0	0	0	190	380	0
12	656,28	6357,11	6827,03	0	0	4,26	4,26	140,66	281,33	325
13	405,88	1875,56	0	1875,56	0	0	0	0	0	0
14	405,88	1394,16	1501,25	0	0	0	0	55,05	110,09	52,04
15	405,88	503,92	530,44	0	0	0	0	26,52	53,04	0
16	405,88	4032,21	4280	0	0	9,79	9,79	199	398	39
17	405,88	3937,5	4250	0	0	0	0	150	300	162,5
18	405,88	931	980	0	0	0	0	49	98	0
19	405,88	2711,3	2854	0	0	0	0	142,7	285,4	0
20	405,88	998,91	1105,3	0	0	0	0	2,98	5,97	103,41
21	967,57	549,64	578,56	0	0	0	0	28,93	57,86	0
22	967,57	1129,55	1189	0	0	0	0	59,45	118,9	0
23	967,57	496,95	523,11	0	0	0	0	26,16	52,31	0
24	967,57	1334,36	1404,59	0	0	0	0	70,23	140,46	0
25	967,57	4259,6	4220,51	350	0	0	0	148,6	297,2	162,31
26	810,1	0	0	0	0	0	0	0	0	0
27	810,1	884,83	931,4	0	0	0	0	46,57	93,14	0
28	810,1	600,58	632,19	0	0	0	0	31,61	63,22	0
29	810,1	975,61	22,09	956,39	0	0	0	0	0	2,87
30	810,1	3666,87	3863,16	0	0	3,13	3,13	193,16	386,32	0
31	810,1	4918,65	5228,32	0	0	38,35	38,35	255,22	510,45	16,1
32	484,77	958,75	0	958,75	0	0	0	0	0	0
33	484,77	1957,01	85,39	1882,72	0	0	0	0	0	11,1
34	484,77	0	0	0	0	0	0	0	0	0
35	484,77	988,07	50,18	940,4	0	0	0	2,51	5,02	0
36	484,77	6613,62	7255,27	0	0	3,57	3,57	190,69	381,38	447,4
37	484,77	1907,02	0	1907,02	0	0	0	0	0	0
38	529,17	7052,67	3873,23	3376,81	0	3,71	3,71	193,66	387,32	0
39	529,17	1728,51	1486,94	316,05	0	0	0	74,26	148,53	0,22
40	529,17	935,78	0	935,78	0	0	0	0	0	0
41	529,17	0	0	0	0	0	0	0	0	0
42	529,17	87,54	100,62	0	0	0	0	0	0	13,08
43	529,17	950	0	950	0	0	0	0	0	0
44	529,17	570	600	0	0	0	0	30	60	0
45	529,17	1339,41	1409,91	0	0	0	0	70,5	140,99	0
46	625,11	1049,86	1105,12	0	0	0	0	55,26	110,51	0
47	625,11	1544,15	602,79	941,36	0	0	0	0	0	0
48	625,11	7011,1	7472,5	0	0	11,5	11,5	325,95	651,91	123,95
49	625,11	22901,63	13287,72	14351,81	0	4025,69	4025,69	62,21	124,42	650
50	625,11	5509,63	6021,74	0	0	211,02	211,02	301,09	602,17	0
51	625,11	1885	0	1885	0	0	0	0	0	0
52	222,26	3256,23	3581,23	0	0	0	0	0	0	325
53	222,26	2622,14	3013,95	0	0	0	0	0	0	391,81
54	222,26	4082,38	4484,42	156,73	0	0	0	15,12	30,25	543,65
55	222,26	4474,32	4936,29	0	0	0	0	102,98	205,95	359
56	222,26	253,29	253,57	0	0	0	0	0	0	0,27
57	222,26	761,98	802,08	0	0	0	0	40,1	80,21	0
58	434,55	1847,35	0	1847,35	0	0	0	0	0	0
59	434,55	3318,36	3493,01	0	0	0	0	174,65	349,3	0
60	434,55	939,44	0	939,44	0	0	0	0	0	0
61	434,55	79,13	0	79,13	0	0	0	0	0	0
62	434,55	3037,19	3197,04	0	0	0	0	159,85	319,7	0
63	434,55	0	0	0	0	0	0	0	0	0
64	268,32	1888,64	1988,04	0	0	0	0	99,4	198,8	0
65	268,32	3618,97	3809,52	0	0	0,08	0,08	190,48	380,95	0
66	268,32	2729,57	2982,05	0	0	0	0	84,49	168,98	167,99
67	268,32	3716,09	2045,11	1904,76	0	0	0	20,05	40,1	213,73
68	268,32	1933,34	2035,09	0	0	0	0	101,75	203,51	0
69	268,32	1882,05	1981,11	0	0	0	0	99,06	198,11	0
70	268,32	1129,24	1188,67	0	0	0	0	59,43	118,87	0
71	253,68	0	0	0	0	0	0	0	0	0
72	253,68	1875,56	0	1875,56	0	0	0	0	0	0
73	253,68	2001	2300	0	0	0	0	0	0	299
74	253,68	435	500	0	0	0	0	0	0	65
75	253,68	954	0	954	0	0	0	0	0	0
76	764,56	831,72	956	0	0	0	0	0	0	124,28
77	764,56	2579,79	2715,57	0	0	0	0	135,78	271,56	0
78	764,56	1482,16	1571,91	0	0	0	0	71,62	143,25	18,12
79	764,56	21629,96	13462,31	11267,56	0	2426,8	2426,8	673,12	1346,23	0
80	764,56	262,22	301,4	0	0	0	0	0	0	39,18
81	764,56	556,5	585,79	0	0	0	0	29,29	58,58	0
82	764,56	941,36	0	941,36	0	0	0	0	0	0
83	764,56	2868,75	1075,88	1846,66	0	0	0	53,79	107,59	0
84	400,37	0	0	0	0	0	0	0	0	0
85	400,37	1730,15	1838,1	0	0	0	0	81,88	163,76	26,07
86	400,37	1873,14	0	1873,14	0	0	0	0	0	0
87	400,37	4380,98	3728,28	936,57	0	0	0	88,96	177,92	194,91
88	400,37	2809,71	0	2809,71	0	0	0	0	0	0
89	400,37	612,79	704,36	0	0	0	0	0	0	91,57
90	400,37	1950,16	2052,81	0	0	0	0	102,64	205,28	0
91	525,1	2667,7	2808,11	0	0	0	0	140,41	280,81	0
92	525,1	3312,32	3486,65	0	0	0	0	174,33	348,67	0
93	525,1	772,62	888,07	0	0	0	0	0	0	115,45
94	525,1	2070,27	1188,67	941,03	0	0	0	59,43	118,87	0
95	525,1	101,94	107,31	0	0	0	0	5,37	10,73	0
96	525,1	944,99	0	944,99	0	0	0	0	0	0
97	525,1	893,98	941,03	0	0	0	0	47,05	94,1	0
98	651,06	4052,64	2502,08	1875,56	0	0	0	0	0	325
99	651,06	961,97	27,8	937,78	0	0	0	0	0	3,61
100	651,06	1842,54	1000,84	931,78	0	0	0	25,02	50,04	65,05
101	651,06	4614,32	4003,34	957,28	0	21,3	21,3	0	0	325
102	651,06	3605,99	1989	1875,56	0	0	0	0	0	258,57
103	651,06	950	1000	0	0	0	0	50	100	0
104	651,06	3914,3	3134	937	0	0	0	156,7	313,4	0
105	651,06	3074,5	2250	937	0	0	0	112,5	225	0
106	324,67	3793,88	4160,97	0	0	0	0	108,65	217,29	258,45
107	324,67	1272,69	350,88	939,35	0	0	0	17,54	35,09	0
108	324,67	827,31	950,93	0	0	0	0	0	0	123,62
109	324,67	193,9	222,87	0	0	0	0	0	0	28,97
110	324,67	944,99	0	944,99	0	0	0	0	0	0
111	324,67	3177,15	1442,5	1889,98	0	0	0	0	0	155,33
112	1230,6	0	0	0	0	0	0	0	0	0
113	1230,6	1585,52	1822,44	0	0	0	0	0	0	236,92
114	576,54	267,55	281,63	0	0	0	0	14,08	28,16	0
115	576,54	1596,64	751,95	942,44	0	0	0	0	0	97,75
116	576,54	15268,41	18414,4	0	0	2495,99	2495,99	0	0	650
117	576,54	9068,93	10597,98	0	0	1169,97	1169,97	34,08	68,17	325
118	576,54	2207,52	2399,51	0	0	0	0	74,97	149,93	117,03
119	576,54	869,6	999,54	0	0	0	0	0	0	129,94
120	576,54	1483,8	1561,9	0	0	0	0	78,09	156,19	0
121	1033,68	3878,68	4082,82	0	0	0	0	204,14	408,28	0
122	1033,68	1290,57	1358,49	0	0	0	0	67,92	135,85	0
123	1033,68	1723,57	1981,11	0	0	0	0	0	0	257,54
124	1033,68	0	0	0	0	0	0	0	0	0
125	1033,68	6655,34	3467	3513,34	0	0	0	0	0	325
126	1033,68	1716,52	1806,86	0	0	0	0	90,34	180,69	0
127	1033,68	2158,19	0	2158,19	0	0	0	0	0	0
128	454,11	900,88	948,29	0	0	0	0	47,41	94,83	0
129	454,11	691,83	795,21	0	0	0	0	0	0	103,38
130	454,11	2248,47	2584,45	0	0	0	0	0	0	335,98
131	454,11	878,01	1009,2	0	0	0	0	0	0	131,2
132	454,11	981,45	41,91	944,99	0	0	0	0	0	5,45
133	454,11	71,82	82,55	0	0	0	0	0	0	10,73
134	454,11	1889,98	0	1889,98	0	0	0	0	0	0
135	454,11	1034,14	1188,67	0	0	0	0	0	0	154,53
136	454,11	861,78	990,55	0	0	0	0	0	0	128,77
137	550,4	4268,82	4493,49	0	0	0	0	224,67	449,35	0
138	550,4	5449,54	3102,59	2502,08	0	0	0	155,13	310,26	0
139	550,4	1000,83	0	1000,83	0	0	0	0	0	0
140	550,4	3979,5	2610	1500	0	0	0	130,5	261	0
141	550,4	5717,86	6137	0	0	112,29	112,29	306,85	613,7	0
142	550,4	10261,46	8819,55	1882,89	0	0	0	440,98	881,96	0
143	372,98	0	0	0	0	0	0	0	0	0
144	372,98	9262,84	10828,07	0	0	1200,13	1200,13	40,1	80,21	325
145	372,98	1139,47	1199,44	0	0	0	0	59,97	119,94	0
146	372,98	2105,46	0	2105,46	0	0	0	0	0	0
147	372,98	1139,47	1199,44	0	0	0	0	59,97	119,94	0
148	372,98	158,26	166,59	0	0	0	0	8,33	16,66	0
149	372,98	1873,14	0	1873,14	0	0	0	0	0	0
150	372,98	1632,25	799,63	936,57	0	0	0	0	0	103,95
151	564,11	1010,44	80,07	940,78	0	0	0	0	0	10,41
152	564,11	1238,48	1303,66	0	0	0	0	65,18	130,37	0
153	564,11	2446,25	2575	0	0	0	0	128,75	257,5	0
154	564,11	1944,26	2046,59	0	0	0	0	102,33	204,66	0
155	564,11	2807,73	2955,51	0	0	0	0	147,78	295,55	0
156	511,89	2391,76	2636,24	0	0	0	0	61,39	122,79	183,09
157	511,89	951,58	0	951,58	0	0	0	0	0	0
158	511,89	1290,98	401,86	941,36	0	0	0	0	0	52,24
159	511,89	2824,07	0	2824,07	0	0	0	0	0	0
160	511,89	2324,2	2446,53	0	0	0	0	122,33	244,65	0
161	511,89	4859,86	0	5023,25	0	163,39	163,39	0	0	0
162	511,89	7326,46	6021,75	1605,8	0	0	0	301,09	602,18	0
163	442,55	1878,88	0	1878,88	0	0	0	0	0	0
164	442,55	5401,1	5576,66	0	0	0	0	175,57	351,13	0
165	442,55	3921,9	4148,75	0	0	19,41	19,41	207,44	414,88	0
166	442,55	1709,21	1799,17	0	0	0	0	89,96	179,92	0
167	442,55	1992,57	2257,84	0	0	0	0	17,66	35,32	247,61
168	442,55	1191,61	1254,33	0	0	0	0	62,72	125,43	0
169	442,55	1510,49	1736,2	0	0	0	0	0	0	225,71
170	442,55	902,08	949,56	0	0	0	0	47,48	94,96	0
171	856,89	2345,68	2469,14	0	0	0	0	123,46	246,91	0
172	856,89	1353,1	495,28	922,21	0	0	0	0	0	64,39
173	856,89	2645,78	1981,11	922,21	0	0	0	0	0	257,54
174	856,89	878,34	924,57	0	0	0	0	46,23	92,46	0
175	856,89	2651,5	2791,05	0	0	0	0	139,55	279,11	0
176	856,89	3164,99	3531,19	0	0	0	0	58,03	116,06	308,18
177	421,08	1904,76	0	1904,76	0	0	0	0	0	0
178	421,08	3135,03	2439,83	952,38	0	0	0	37,5	75	219,68
179	421,08	924,44	0	924,44	0	0	0	0	0	0
180	421,08	1848,88	0	1848,88	0	0	0	0	0	0
181	421,08	1882,05	1981,11	0	0	0	0	99,06	198,11	0
182	421,08	321,72	351,33	0	0	0	0	10,04	20,08	19,57
183	421,08	722,23	794,1	0	0	0	0	19,6	39,21	52,26
184	421,08	944,99	0	944,99	0	0	0	0	0	0
185	421,08	1126,04	1185,3	0	0	0	0	59,27	118,53	0
186	633,26	1899,21	2,51	1897,03	0	0	0	0	0	0,33
187	633,26	310,49	356,89	0	0	0	0	0	0	46,4
188	633,26	1535,36	1616,17	0	0	0	0	80,81	161,62	0
189	633,26	2487,69	2685,18	0	0	0	0	94,74	189,48	102,76
190	633,26	1227,08	1291,66	0	0	0	0	64,58	129,17	0
191	633,26	2653,12	2987,4	0	0	0	0	33,8	67,6	300,48
192	633,26	2692,79	2897,9	0	0	0	0	107,26	214,52	97,85
193	591,82	935,46	0	935,46	0	0	0	0	0	0
194	591,82	1567,31	1801,5	0	0	0	0	0	0	234,2
195	591,82	1693,07	1768,14	0	0	0	0	75,06	150,13	0
196	591,82	1995,66	2201,83	0	0	0	0	50,04	100,08	156,13
